Facility Id;FRS Id;Facility Name;City;State;Zip Code;Address;County;Latitude;Longitude;Primary NAICS Code;Industry Type (subparts);Industry Type (sectors);Total reported direct emissions;CO2 emissions (non-biogenic) ;Methane (CH4) emissions ;Nitrous Oxide (N2O) emissions ;Biogenic CO2 emissions (metric tons);Stationary Combustion;Electricity Generation;Glass Production;Municipal Landfills;Industrial Wastewater Treatment
1007899;110013949362;CHESSER ISLAND ROAD LANDFILL;FOLKSTON;GA;31537;;CHARLTON;30.71;-82.06;562212;HH;Waste;139520.5;;139,520.50;;;;;;139,520.50;
1002340;110013947881;CITY OF LA GRANGE LANDFILL;LAGRANGE;GA;30241;2233 GREENVILLE ROAD;TROUP COUNTY;33.05;-84.96;562212;HH;Waste;53889;;53,889.00;;;;;;53,889.00;
1007290;110013947854;CITY OF TIFTON / OMEGA / ELDORADO ROAD LF;TIFTON;GA;31794;445 MITCHELL STORE RD, RT 6;TIFT COUNTY;31.36;-83.54;562212;HH;Waste;50366.25;;50,366.25;;;;;;50,366.25;
1003959;110043811471;COLUMBUS SCHATULGA ROAD SANITARY LF;COLUMBUS;GA;31907;7143 SACERDOTE LN;MUSCOGEE;32.50;-84.87;562212;HH;Waste;24320.5;;24,320.50;;;;;;24,320.50;
1003933;110043807618;Camden County SR 110 MSW Landfill;Woodbine;GA;31569;5395 Highway 110;CAMDEN COUNTY;30.91;-81.79;562212;HH;Waste;83893.25;;83,893.25;;;;;;83,893.25;
1004128;110024523461;Cedar Grove Landfill;Barnesville;GA;30204;172 Roger Brown Dr.;LAMAR COUNTY;33.08;-84.21;562212;HH;Waste;49606.5;;49,606.50;;;;;;49,606.50;
1009491;110000511107;CertainTeed Corporation;Athens;GA;30601;425 Athena Dr;CLARKE COUNTY;33.98;-83.33;327993;C,N;Minerals;30112.948;30,085.00;12.75;15.20;;27,297.75;;2,815.20;;
1001178;110013399492;Chattahoochee Energy Facility;FRANKLIN;GA;30217;3459 HOLLINGSWORTH FERRY RD;Heard;33.41;-85.04;221112;D;Power Plants;1291467.164;1,290,155.80;598.25;713.11;;;1,291,467.16;;;
1010990;110000360127;Cherokee Brick & Tile Company;Macon;GA;31206;3250 Waterville Rd;BIBB COUNTY;32.80;-83.64;327121;C;Minerals;33458.912;33,390.00;26.00;42.91;6,816.70;33,458.91;;;;
1012033;110005687364;Cherokee LNG;Ballground;GA;30107;12860 E Cherokee Drive;CHEROKEE;34.27;-84.36;221210;C,W-LNGSTG;Other,Petroleum and Natural Gas Systems;19623.976;19,568.70;44.25;11.03;;19,588.98;;;;
1003374;110043802347;City of Thomasville Municipal Solid Waste Landfill;Thomasville;GA;31757;88 Landfill Road;THOMAS COUNTY;30.80;-83.91;562212;HH;Waste;37573;;37,573.00;;;;;;37,573.00;
